1970,,מעלבורן,אליין אין געזעמל. דערציילונגען,"אייזענבוד, משה"
1965,יידבוך,בוענאס איירעס,געלעבט הינטער קראטן,"אייזענבוד, משה"
1973,,מעלבורן,יוגנטלעכע בלאנדזשענישן,"אייזענבוד, משה"
1965,,מעלבורן,"ניעסוויזשער יידן, דערציילונגען","אייזענבוד, משה"
1957,אלוועלטלעכער יידישער קולטור קאנגרעס - ציקא,ניו יארק,פון נאענטן עבר. מאנטגראפיעס און מעמוארן.,"אייזענשטיין-קשב, בעטי (רעד) ET AL"
1964,י. ל. פרץ,תל אביב,דאס ברויט פון צער,"אייכענראנד, לייזער"
1970,י. ל פרץ,תל אביב,דארשט פאר דויער,"אייכענראנד, לייזער"
1980,י. ל. פרץ,תל אביב,די אייביקע רגע,"אייכענראנד, לייזער"
1979,תמיד,תל אביב,לאנדשאפט פון גורל,"אייכענראנד, לייזער"
1953,די גאלדענע פאווע,פאריז,ממעמקים,"אייכענראנד, לייזער"
1984,תמיד,תל אביב,צווישן איצט און קיינמאל,"אייכענראנד, לייזער"
1943,,ניו יארק,אב הרחמים,"איינהארן, דוד"
1952,ארבעטער רינג,ניו יארק,געזאמלטע לידער 1904-1951,"איינהארן, דוד"
1917,נייע וועלט,ניו יארק,צו א יידישער טאכטער,"איינהארן, דוד"
,לייבוש און חיהלע לעדערער פאנד,באלטימאר,דער ברית החדשה,"איינשפרוך, חיים"
1954,ר. אזליי יובל-קאמיטעט,ניו יארק,פון אונדזער פרילינג. ליטערארישע זכרונות,"אייסלאנד, ראובן"
1922,אונזער שער,ניו יארק,פון מיין זומער,"אייסלאנד, ראובן"
1984,מחבר,אמסטערדאם,אן אפמאך מיט גאט. א גראפישער נאוועלע,"אייסנער, וויל"
1950,,בוענאס איירעס,בערג און מענטשן,"אילין, מ"
1914,ב. קלעצקין פארלאג,ווילנע,רויזענבלעטער,"אימבער, ש. י."
1961,יידבוך,בוענאס איירעס,אנטאלאגיע פון דער וועלט-ליטעראטור,"איסאקסאן, יצחק (רעד)"
1958,,בוענאס איירעס,"יידישע ווארשע דורך פיין, בלוט און טויט.","אלבערט, יהושע"
1941,אלגין אנדענק קאמיטעט,ניו יארק,אמעריקע,"אלגין, משה"
1927,פארלאג פרייהייט,ניו יארק,האוורילע און יואל. דערציילונג,"אלגין, משה"
1949,איקוף,ניו יארק,קולטור און פאלק,"אלגין, משה"
1939,איקוף,ניו יארק,קולטור און פאלק. רעדעס.,"אלגין, משה"
1955,היימלאנד,בוענאס איירעס,דער דיפלאמאט. ראמאן,"אלדריטש, דזשיימס - פ. קאץ"
1955,היימלאנד,בוענאס איירעס,דער דיפלאמאט. ראמאן,"אלדריטש, דזשיימס - פ. קאץ"
1991,י. ל. פרץ,תל אביב,דאס הויז פון מיין פאטער,"אלון, יגאל"
1954,,בוענאס איירעס,מיין שטעטל,"אלטבוים, הערש"
1980,סאוועטסקי פיסאטעל,מאסקווע,באם פענצטער,"אלטמאן, משה"
1955,ציקא,ניו יארק,געקליבענע ווערק,"אלטמאן, משה"
1919,ניי צייט,ניו יארק,ווי איך זע עס,"אלטענבערג, פעטער"
1962,אלוועלטלעכער יידישער קולטור קאנגרעס,פאריז,יונגע טעג,"אלטער, פערל"
